����,�n�l(BID),���l(BID),���l(BID),�I�l(BID),���l(ASK),���l(ASK)
20150501082400,94.370,94.384,94.370,94.382,94.391,94.377,HIGHやで～
20150501082500,94.382,94.394,94.382,94.386,94.401,94.389,HIGHやで～
20150501082600,94.386,94.390,94.386,94.390,94.397,94.393,HIGHやで～
20150501082700,94.390,94.391,94.380,94.380,94.398,94.387,LOWやで～
20150501082800,94.380,94.380,94.370,94.372,94.387,94.377,LOWやで～
20150501082900,94.372,94.375,94.357,94.360,94.390,94.369,LOWやで～
20150501083000,94.359,94.377,94.359,94.376,94.397,94.371,HIGHやで～
20150501083100,94.376,94.379,94.367,94.368,94.386,94.374,LOWやで～
20150501083200,94.368,94.374,94.363,94.363,94.381,94.370,LOWやで～
20150501083300,94.363,94.367,94.344,94.346,94.374,94.351,LOWやで～
20150501083400,94.346,94.353,94.345,94.352,94.360,94.352,HIGHやで～
20150501083500,94.351,94.357,94.349,94.353,94.364,94.356,HIGHやで～
20150501083600,94.353,94.360,94.341,94.347,94.367,94.348,LOWやで～
20150501083700,94.347,94.352,94.344,94.348,94.359,94.351,HIGHやで～
20150501083800,94.349,94.349,94.325,94.334,94.356,94.332,LOWやで～
20150501083900,94.334,94.348,94.329,94.342,94.355,94.336,HIGHやで～
20150501084000,94.341,94.356,94.339,94.356,94.363,94.346,HIGHやで～
20150501084100,94.355,94.357,94.344,94.350,94.364,94.351,LOWやで～
20150501084200,94.349,94.390,94.349,94.389,94.397,94.356,HIGHやで～
20150501084300,94.390,94.395,94.375,94.376,94.402,94.382,LOWやで～
20150501084400,94.377,94.378,94.373,94.374,94.385,94.380,LOWやで～
20150501084500,94.373,94.379,94.350,94.353,94.386,94.357,LOWやで～
20150501084600,94.353,94.365,94.353,94.359,94.372,94.360,HIGHやで～
20150501084700,94.359,94.372,94.358,94.372,94.379,94.365,HIGHやで～
20150501084800,94.372,94.372,94.367,94.367,94.379,94.374,LOWやで～
20150501084900,94.367,94.389,94.365,94.378,94.396,94.372,HIGHやで～
20150501085000,94.379,94.383,94.364,94.364,94.390,94.371,LOWやで～
20150501085100,94.364,94.368,94.355,94.355,94.375,94.362,LOWやで～
20150501085200,94.355,94.376,94.353,94.376,94.383,94.360,HIGHやで～
20150501085300,94.376,94.376,94.362,94.365,94.383,94.369,LOWやで～
20150501085400,94.364,94.377,94.363,94.376,94.384,94.370,HIGHやで～
20150501085500,94.376,94.381,94.364,94.364,94.388,94.371,LOWやで～
20150501085600,94.364,94.377,94.363,94.368,94.384,94.370,HIGHやで～
20150501085700,94.368,94.382,94.368,94.376,94.389,94.375,HIGHやで～
20150501085800,94.376,94.376,94.355,94.356,94.383,94.362,LOWやで～
20150501085900,94.356,94.367,94.343,94.343,94.374,94.350,LOWやで～
20150501090000,94.341,94.369,94.337,94.343,94.376,94.344,HIGHやで～
20150501090100,94.345,94.361,94.341,94.359,94.368,94.348,HIGHやで～
20150501090200,94.359,94.377,94.349,94.357,94.384,94.356,LOWやで～
20150501090300,94.359,94.360,94.355,94.356,94.367,94.362,LOWやで～
20150501090400,94.356,94.367,94.352,94.358,94.374,94.359,HIGHやで～
20150501090500,94.358,94.369,94.357,94.360,94.376,94.364,HIGHやで～
20150501090600,94.360,94.377,94.360,94.373,94.384,94.367,HIGHやで～
20150501090700,94.373,94.403,94.368,94.397,94.410,94.375,HIGHやで～
20150501090800,94.399,94.405,94.378,94.392,94.412,94.385,LOWやで～
20150501090900,94.392,94.392,94.379,94.384,94.399,94.386,LOWやで～
20150501091000,94.386,94.394,94.376,94.376,94.401,94.383,LOWやで～
20150501091100,94.377,94.387,94.374,94.379,94.394,94.381,HIGHやで～
20150501091200,94.378,94.396,94.358,94.363,94.403,94.365,LOWやで～
20150501091300,94.363,94.366,94.358,94.362,94.373,94.365,LOWやで～
20150501091400,94.361,94.370,94.342,94.369,94.377,94.349,HIGHやで～
20150501091500,94.370,94.377,94.359,94.361,94.384,94.366,LOWやで～
20150501091600,94.361,94.380,94.360,94.371,94.387,94.367,HIGHやで～
20150501091700,94.372,94.400,94.370,94.372,94.407,94.377,LOWやで～
20150501091800,94.372,94.381,94.369,94.372,94.388,94.376,LOWやで～
20150501091900,94.372,94.378,94.369,94.373,94.385,94.376,HIGHやで～
20150501092000,94.373,94.377,94.362,94.362,94.384,94.369,LOWやで～
20150501092100,94.362,94.362,94.347,94.352,94.369,94.354,LOWやで～
20150501092200,94.352,94.367,94.347,94.364,94.374,94.354,HIGHやで～
20150501092300,94.364,94.369,94.348,94.356,94.376,94.355,LOWやで～
20150501092400,94.356,94.357,94.336,94.336,94.364,94.343,LOWやで～
20150501092500,94.336,94.359,94.335,94.358,94.366,94.342,HIGHやで～
20150501092600,94.357,94.366,94.351,94.364,94.373,94.358,HIGHやで～
20150501092700,94.365,94.373,94.346,94.346,94.380,94.353,LOWやで～
20150501092800,94.346,94.365,94.345,94.365,94.372,94.352,HIGHやで～
20150501092900,94.365,94.371,94.358,94.358,94.378,94.365,LOWやで～
20150501093000,94.358,94.370,94.358,94.364,94.377,94.365,HIGHやで～
20150501093100,94.364,94.364,94.349,94.351,94.371,94.356,LOWやで～
20150501093200,94.354,94.358,94.346,94.348,94.365,94.353,LOWやで～
20150501093300,94.348,94.369,94.348,94.350,94.376,94.355,HIGHやで～
20150501093400,94.349,94.349,94.329,94.341,94.356,94.336,LOWやで～
20150501093500,94.341,94.354,94.337,94.354,94.361,94.344,HIGHやで～
20150501093600,94.354,94.361,94.351,94.359,94.368,94.358,HIGHやで～
20150501093700,94.359,94.368,94.353,94.364,94.375,94.360,HIGHやで～
20150501093800,94.364,94.368,94.355,94.365,94.375,94.362,HIGHやで～
20150501093900,94.365,94.372,94.349,94.355,94.379,94.356,LOWやで～
20150501094000,94.354,94.371,94.353,94.369,94.378,94.360,HIGHやで～
20150501094100,94.369,94.380,94.365,94.365,94.387,94.372,LOWやで～
20150501094200,94.365,94.384,94.365,94.367,94.391,94.372,HIGHやで～
