����,�n�l(BID),���l(BID),���l(BID),�I�l(BID),���l(ASK),���l(ASK)
20150501130600,94.449,94.449,94.429,94.448,94.456,94.436,LOWやで～
20150501130700,94.448,94.448,94.442,94.444,94.455,94.449,LOWやで～
20150501130800,94.444,94.448,94.440,94.448,94.455,94.447,HIGHやで～
20150501130900,94.449,94.455,94.440,94.445,94.462,94.447,LOWやで～
20150501131000,94.445,94.468,94.444,94.447,94.475,94.451,HIGHやで～
20150501131100,94.447,94.447,94.441,94.443,94.454,94.448,LOWやで～
20150501131200,94.443,94.443,94.434,94.435,94.450,94.441,LOWやで～
20150501131300,94.435,94.438,94.424,94.438,94.445,94.431,HIGHやで～
20150501131400,94.438,94.438,94.428,94.428,94.445,94.435,LOWやで～
20150501131500,94.428,94.429,94.412,94.413,94.436,94.419,LOWやで～
20150501131600,94.412,94.419,94.411,94.416,94.426,94.418,HIGHやで～
20150501131700,94.416,94.416,94.403,94.405,94.423,94.410,LOWやで～
20150501131800,94.404,94.410,94.397,94.406,94.417,94.404,HIGHやで～
20150501131900,94.406,94.408,94.398,94.403,94.415,94.405,LOWやで～
20150501132000,94.403,94.408,94.399,94.407,94.415,94.406,HIGHやで～
20150501132100,94.407,94.413,94.405,94.405,94.420,94.412,LOWやで～
20150501132200,94.405,94.412,94.405,94.408,94.419,94.412,HIGHやで～
20150501132300,94.408,94.424,94.403,94.409,94.431,94.410,HIGHやで～
20150501132400,94.409,94.409,94.387,94.387,94.416,94.394,LOWやで～
20150501132500,94.387,94.391,94.371,94.371,94.398,94.378,LOWやで～
20150501132600,94.372,94.384,94.369,94.380,94.391,94.376,HIGHやで～
20150501132700,94.382,94.386,94.376,94.383,94.393,94.383,HIGHやで～
20150501132800,94.383,94.383,94.375,94.375,94.390,94.382,LOWやで～
20150501132900,94.375,94.379,94.370,94.378,94.386,94.377,HIGHやで～
20150501133000,94.379,94.383,94.375,94.380,94.390,94.382,HIGHやで～
20150501133100,94.374,94.374,94.347,94.354,94.381,94.354,LOWやで～
20150501133200,94.354,94.354,94.323,94.328,94.361,94.330,LOWやで～
20150501133300,94.329,94.353,94.329,94.353,94.360,94.336,HIGHやで～
20150501133400,94.353,94.354,94.344,94.349,94.361,94.351,LOWやで～
20150501133500,94.349,94.354,94.335,94.336,94.361,94.342,LOWやで～
20150501133600,94.336,94.350,94.334,94.338,94.357,94.341,HIGHやで～
20150501133700,94.339,94.351,94.334,94.341,94.358,94.341,HIGHやで～
20150501133800,94.342,94.353,94.338,94.353,94.360,94.345,HIGHやで～
20150501133900,94.353,94.357,94.343,94.355,94.364,94.350,HIGHやで～
20150501134000,94.355,94.356,94.332,94.343,94.363,94.339,LOWやで～
20150501134100,94.342,94.359,94.341,94.356,94.366,94.348,HIGHやで～
20150501134200,94.356,94.366,94.348,94.356,94.373,94.355,LOWやで～
20150501134300,94.357,94.369,94.353,94.367,94.376,94.360,HIGHやで～
20150501134400,94.367,94.384,94.367,94.380,94.391,94.374,HIGHやで～
20150501134500,94.380,94.380,94.373,94.377,94.387,94.380,LOWやで～
20150501134600,94.377,94.383,94.377,94.379,94.390,94.384,HIGHやで～
20150501134700,94.379,94.389,94.378,94.389,94.396,94.385,HIGHやで～
20150501134800,94.390,94.402,94.386,94.390,94.409,94.393,LOWやで～
20150501134900,94.391,94.401,94.390,94.393,94.408,94.397,HIGHやで～
20150501135000,94.393,94.393,94.385,94.391,94.400,94.392,LOWやで～
20150501135100,94.391,94.394,94.383,94.387,94.401,94.390,LOWやで～
20150501135200,94.387,94.387,94.376,94.377,94.394,94.383,LOWやで～
20150501135300,94.376,94.380,94.367,94.378,94.387,94.374,HIGHやで～
20150501135400,94.378,94.392,94.378,94.388,94.399,94.385,HIGHやで～
20150501135500,94.388,94.388,94.374,94.375,94.395,94.381,LOWやで～
20150501135600,94.375,94.389,94.375,94.387,94.396,94.382,HIGHやで～
20150501135700,94.387,94.391,94.365,94.372,94.398,94.372,LOWやで～
20150501135800,94.372,94.379,94.368,94.378,94.386,94.375,HIGHやで～
20150501135900,94.378,94.379,94.364,94.369,94.386,94.371,LOWやで～
20150501140000,94.369,94.377,94.369,94.375,94.384,94.376,HIGHやで～
20150501140100,94.375,94.375,94.357,94.371,94.382,94.364,LOWやで～
20150501140200,94.371,94.374,94.352,94.353,94.381,94.359,LOWやで～
20150501140300,94.354,94.358,94.333,94.337,94.365,94.340,LOWやで～
20150501140400,94.338,94.340,94.330,94.338,94.347,94.337,LOWやで～
20150501140500,94.343,94.371,94.343,94.360,94.378,94.350,HIGHやで～
20150501140600,94.360,94.364,94.351,94.354,94.371,94.358,LOWやで～
20150501140700,94.354,94.354,94.337,94.352,94.361,94.344,LOWやで～
20150501140800,94.352,94.352,94.342,94.349,94.359,94.349,LOWやで～
20150501140900,94.349,94.354,94.338,94.342,94.361,94.345,LOWやで～
20150501141000,94.342,94.344,94.340,94.344,94.351,94.347,HIGHやで～
20150501141100,94.344,94.354,94.333,94.352,94.361,94.340,HIGHやで～
20150501141200,94.352,94.365,94.349,94.353,94.372,94.356,HIGHやで～
20150501141300,94.353,94.362,94.343,94.359,94.369,94.350,HIGHやで～
20150501141400,94.349,94.355,94.347,94.355,94.362,94.354,HIGHやで～
20150501141500,94.355,94.356,94.342,94.351,94.363,94.349,LOWやで～
20150501141600,94.351,94.353,94.347,94.347,94.360,94.354,LOWやで～
20150501141700,94.348,94.366,94.347,94.365,94.373,94.354,HIGHやで～
20150501141800,94.365,94.365,94.362,94.364,94.372,94.369,LOWやで～
20150501141900,94.364,94.364,94.351,94.355,94.371,94.358,LOWやで～
20150501142000,94.356,94.374,94.356,94.371,94.381,94.363,HIGHやで～
20150501142100,94.372,94.372,94.366,94.370,94.379,94.373,LOWやで～
20150501142200,94.370,94.372,94.364,94.367,94.379,94.371,LOWやで～
20150501142300,94.368,94.376,94.368,94.374,94.383,94.375,HIGHやで～
20150501142400,94.374,94.374,94.357,94.362,94.381,94.364,LOWやで～
20150501142500,94.362,94.385,94.359,94.381,94.392,94.366,HIGHやで～
20150501142600,94.381,94.393,94.381,94.391,94.400,94.388,HIGHやで～
20150501142700,94.391,94.392,94.382,94.386,94.399,94.389,LOWやで～
20150501142800,94.386,94.389,94.384,94.388,94.396,94.391,HIGHやで～
20150501142900,94.388,94.394,94.382,94.386,94.401,94.389,LOWやで～
20150501143000,94.386,94.400,94.382,94.400,94.407,94.389,HIGHやで～
20150501143100,94.401,94.412,94.399,94.412,94.419,94.406,HIGHやで～
20150501143200,94.412,94.420,94.409,94.409,94.427,94.416,LOWやで～
20150501143300,94.409,94.428,94.409,94.419,94.435,94.416,HIGHやで～
20150501143400,94.419,94.420,94.407,94.415,94.427,94.414,LOWやで～
20150501143500,94.415,94.440,94.411,94.439,94.447,94.418,HIGHやで～
20150501143600,94.439,94.452,94.435,94.447,94.459,94.442,HIGHやで～
20150501143700,94.446,94.460,94.428,94.459,94.467,94.435,HIGHやで～
20150501143800,94.459,94.459,94.435,94.445,94.466,94.442,LOWやで～
20150501143900,94.445,94.456,94.433,94.449,94.463,94.440,HIGHやで～
20150501144000,94.449,94.498,94.442,94.492,94.505,94.449,HIGHやで～
20150501144100,94.491,94.491,94.472,94.474,94.498,94.479,LOWやで～
20150501144200,94.474,94.479,94.461,94.462,94.486,94.468,LOWやで～
20150501144300,94.462,94.479,94.460,94.460,94.486,94.467,LOWやで～
20150501144400,94.460,94.470,94.455,94.466,94.477,94.462,HIGHやで～
20150501144500,94.466,94.466,94.455,94.459,94.473,94.462,LOWやで～
20150501144600,94.459,94.462,94.457,94.458,94.469,94.464,LOWやで～
20150501144700,94.458,94.472,94.452,94.470,94.479,94.459,HIGHやで～
20150501144800,94.470,94.470,94.455,94.456,94.477,94.462,LOWやで～
20150501144900,94.456,94.457,94.446,94.450,94.464,94.453,LOWやで～
20150501145000,94.450,94.475,94.442,94.464,94.482,94.449,HIGHやで～
20150501145100,94.464,94.489,94.460,94.484,94.496,94.467,HIGHやで～
20150501145200,94.483,94.509,94.478,94.509,94.516,94.485,HIGHやで～
20150501145300,94.509,94.540,94.504,94.540,94.547,94.511,HIGHやで～
20150501145400,94.539,94.566,94.539,94.553,94.573,94.546,HIGHやで～
20150501145500,94.556,94.565,94.549,94.559,94.572,94.556,HIGHやで～
20150501145600,94.559,94.591,94.559,94.589,94.598,94.566,HIGHやで～
20150501145700,94.590,94.601,94.586,94.586,94.608,94.593,LOWやで～
20150501145800,94.587,94.610,94.583,94.597,94.617,94.590,HIGHやで～
20150501145900,94.597,94.599,94.573,94.576,94.606,94.580,LOWやで～
20150501150000,94.573,94.621,94.573,94.621,94.628,94.580,HIGHやで～
20150501150100,94.623,94.649,94.605,94.647,94.656,94.612,HIGHやで～
20150501150200,94.647,94.662,94.631,94.658,94.669,94.638,HIGHやで～
20150501150300,94.658,94.660,94.647,94.647,94.667,94.654,LOWやで～
20150501150400,94.645,94.649,94.639,94.644,94.656,94.646,LOWやで～
20150501150500,94.644,94.652,94.627,94.632,94.659,94.634,LOWやで～
20150501150600,94.632,94.637,94.615,94.618,94.644,94.622,LOWやで～
20150501150700,94.618,94.625,94.601,94.615,94.632,94.608,LOWやで～
20150501150800,94.611,94.628,94.607,94.628,94.635,94.614,HIGHやで～
20150501150900,94.629,94.632,94.616,94.617,94.639,94.623,LOWやで～
20150501151000,94.617,94.618,94.599,94.604,94.625,94.606,LOWやで～
20150501151100,94.603,94.605,94.558,94.561,94.612,94.565,LOWやで～
20150501151200,94.561,94.573,94.541,94.554,94.580,94.548,LOWやで～
20150501151300,94.554,94.557,94.545,94.549,94.564,94.552,LOWやで～
20150501151400,94.549,94.549,94.527,94.537,94.556,94.534,LOWやで～
20150501151500,94.537,94.537,94.510,94.522,94.544,94.517,LOWやで～
20150501151600,94.522,94.529,94.519,94.526,94.536,94.526,HIGHやで～
20150501151700,94.526,94.552,94.526,94.533,94.559,94.533,HIGHやで～
20150501151800,94.533,94.559,94.531,94.548,94.566,94.538,HIGHやで～
20150501151900,94.548,94.548,94.535,94.538,94.555,94.542,LOWやで～
20150501152000,94.538,94.562,94.537,94.560,94.569,94.544,HIGHやで～
20150501152100,94.559,94.598,94.559,94.598,94.605,94.566,HIGHやで～
20150501152200,94.599,94.606,94.588,94.602,94.613,94.595,HIGHやで～
20150501152300,94.602,94.605,94.584,94.584,94.612,94.591,LOWやで～
20150501152400,94.584,94.589,94.571,94.579,94.596,94.578,LOWやで～
20150501152500,94.579,94.597,94.578,94.584,94.604,94.585,HIGHやで～
20150501152600,94.584,94.595,94.574,94.593,94.602,94.581,HIGHやで～
20150501152700,94.593,94.594,94.581,94.581,94.601,94.588,LOWやで～
20150501152800,94.582,94.583,94.559,94.560,94.590,94.566,LOWやで～
20150501152900,94.559,94.569,94.550,94.551,94.576,94.557,LOWやで～
20150501153000,94.551,94.569,94.536,94.540,94.576,94.543,LOWやで～
20150501153100,94.541,94.558,94.541,94.549,94.565,94.548,HIGHやで～
20150501153200,94.549,94.558,94.547,94.554,94.565,94.554,HIGHやで～
20150501153300,94.553,94.557,94.541,94.544,94.564,94.548,LOWやで～
20150501153400,94.544,94.544,94.513,94.519,94.551,94.520,LOWやで～
20150501153500,94.519,94.550,94.519,94.539,94.557,94.526,HIGHやで～
20150501153600,94.539,94.554,94.535,94.554,94.561,94.542,HIGHやで～
20150501153700,94.554,94.564,94.537,94.537,94.571,94.544,LOWやで～
20150501153800,94.536,94.549,94.513,94.517,94.556,94.520,LOWやで～
20150501153900,94.516,94.527,94.515,94.518,94.534,94.522,HIGHやで～
20150501154000,94.518,94.526,94.503,94.507,94.533,94.510,LOWやで～
20150501154100,94.507,94.514,94.490,94.490,94.521,94.497,LOWやで～
20150501154200,94.492,94.493,94.452,94.453,94.500,94.459,LOWやで～
20150501154300,94.452,94.462,94.442,94.455,94.469,94.449,HIGHやで～
20150501154400,94.455,94.461,94.432,94.432,94.468,94.439,LOWやで～
20150501154500,94.433,94.439,94.406,94.406,94.446,94.413,LOWやで～
20150501154600,94.405,94.405,94.377,94.393,94.412,94.384,LOWやで～
20150501154700,94.393,94.412,94.388,94.403,94.419,94.395,HIGHやで～
20150501154800,94.403,94.405,94.346,94.347,94.412,94.353,LOWやで～
20150501154900,94.346,94.352,94.309,94.310,94.359,94.316,LOWやで～
20150501155000,94.309,94.311,94.294,94.297,94.318,94.301,LOWやで～
20150501155100,94.297,94.391,94.297,94.367,94.398,94.304,HIGHやで～
20150501155200,94.367,94.368,94.325,94.326,94.375,94.332,LOWやで～
20150501155300,94.319,94.350,94.314,94.348,94.357,94.321,HIGHやで～
20150501155400,94.348,94.375,94.342,94.371,94.382,94.349,HIGHやで～
20150501155500,94.366,94.366,94.325,94.339,94.373,94.332,LOWやで～
20150501155600,94.339,94.340,94.309,94.310,94.347,94.316,LOWやで～
20150501155700,94.310,94.326,94.298,94.299,94.333,94.305,LOWやで～
20150501155800,94.300,94.304,94.294,94.302,94.311,94.301,HIGHやで～
20150501155900,94.300,94.325,94.300,94.305,94.332,94.307,HIGHやで～
20150501160000,94.306,94.322,94.284,94.321,94.329,94.291,HIGHやで～
20150501160100,94.322,94.323,94.262,94.285,94.330,94.269,LOWやで～
20150501160200,94.285,94.289,94.266,94.269,94.296,94.273,LOWやで～
20150501160300,94.271,94.281,94.223,94.223,94.288,94.230,LOWやで～
20150501160400,94.224,94.233,94.175,94.177,94.240,94.182,LOWやで～
20150501160500,94.177,94.217,94.176,94.217,94.224,94.183,HIGHやで～
20150501160600,94.217,94.221,94.193,94.206,94.228,94.200,LOWやで～
20150501160700,94.206,94.288,94.206,94.268,94.295,94.213,HIGHやで～
20150501160800,94.269,94.293,94.260,94.282,94.300,94.267,HIGHやで～
20150501160900,94.281,94.285,94.247,94.256,94.292,94.254,LOWやで～
20150501161000,94.256,94.257,94.225,94.246,94.264,94.232,LOWやで～
20150501161100,94.243,94.243,94.221,94.221,94.250,94.228,LOWやで～
20150501161200,94.221,94.284,94.210,94.278,94.291,94.217,HIGHやで～
20150501161300,94.278,94.322,94.273,94.320,94.329,94.280,HIGHやで～
20150501161400,94.319,94.334,94.312,94.329,94.341,94.319,HIGHやで～
20150501161500,94.328,94.360,94.327,94.337,94.367,94.334,HIGHやで～
20150501161600,94.336,94.338,94.312,94.314,94.345,94.319,LOWやで～
20150501161700,94.314,94.323,94.290,94.322,94.330,94.297,HIGHやで～
20150501161800,94.322,94.333,94.308,94.317,94.340,94.315,LOWやで～
20150501161900,94.317,94.322,94.300,94.316,94.329,94.307,LOWやで～
20150501162000,94.322,94.362,94.319,94.347,94.369,94.326,HIGHやで～
20150501162100,94.346,94.348,94.317,94.343,94.355,94.324,LOWやで～
20150501162200,94.344,94.351,94.315,94.315,94.358,94.322,LOWやで～
20150501162300,94.315,94.344,94.314,94.336,94.351,94.321,HIGHやで～
20150501162400,94.336,94.344,94.327,94.335,94.351,94.334,LOWやで～
20150501162500,94.335,94.340,94.328,94.340,94.347,94.335,HIGHやで～
20150501162600,94.340,94.368,94.340,94.358,94.375,94.347,HIGHやで～
20150501162700,94.357,94.358,94.343,94.347,94.365,94.350,LOWやで～
20150501162800,94.347,94.365,94.331,94.364,94.372,94.338,HIGHやで～
20150501162900,94.364,94.365,94.339,94.349,94.372,94.346,LOWやで～
20150501163000,94.349,94.368,94.348,94.364,94.375,94.355,HIGHやで～
20150501163100,94.364,94.364,94.342,94.346,94.371,94.349,LOWやで～
20150501163200,94.345,94.353,94.324,94.327,94.360,94.331,LOWやで～
20150501163300,94.327,94.330,94.307,94.313,94.337,94.314,LOWやで～
20150501163400,94.313,94.339,94.313,94.331,94.346,94.320,HIGHやで～
20150501163500,94.332,94.370,94.331,94.367,94.377,94.338,HIGHやで～
20150501163600,94.367,94.390,94.367,94.382,94.397,94.374,HIGHやで～
20150501163700,94.383,94.415,94.383,94.409,94.422,94.390,HIGHやで～
20150501163800,94.410,94.415,94.393,94.394,94.422,94.400,LOWやで～
20150501163900,94.394,94.414,94.394,94.398,94.421,94.401,HIGHやで～
20150501164000,94.398,94.445,94.398,94.441,94.452,94.405,HIGHやで～
20150501164100,94.441,94.451,94.429,94.446,94.458,94.436,HIGHやで～
20150501164200,94.446,94.457,94.432,94.441,94.464,94.439,LOWやで～
20150501164300,94.444,94.447,94.426,94.443,94.454,94.433,LOWやで～
20150501164400,94.442,94.449,94.411,94.412,94.456,94.418,LOWやで～
20150501164500,94.413,94.435,94.409,94.430,94.442,94.416,HIGHやで～
20150501164600,94.431,94.435,94.421,94.427,94.442,94.428,LOWやで～
20150501164700,94.427,94.427,94.405,94.422,94.434,94.412,LOWやで～
20150501164800,94.422,94.424,94.404,94.404,94.431,94.411,LOWやで～
20150501164900,94.404,94.424,94.400,94.419,94.431,94.407,HIGHやで～
20150501165000,94.419,94.419,94.400,94.403,94.426,94.407,LOWやで～
20150501165100,94.403,94.430,94.396,94.427,94.437,94.403,HIGHやで～
20150501165200,94.420,94.433,94.414,94.432,94.440,94.421,HIGHやで～
20150501165300,94.433,94.481,94.432,94.453,94.488,94.439,HIGHやで～
20150501165400,94.453,94.481,94.453,94.470,94.488,94.460,HIGHやで～
20150501165500,94.472,94.476,94.435,94.436,94.483,94.442,LOWやで～
20150501165600,94.438,94.445,94.430,94.434,94.452,94.437,LOWやで～
20150501165700,94.434,94.449,94.424,94.446,94.456,94.431,HIGHやで～
20150501165800,94.447,94.455,94.431,94.447,94.462,94.438,LOWやで～
20150501165900,94.448,94.451,94.434,94.448,94.458,94.441,LOWやで～
20150501170000,94.448,94.517,94.448,94.514,94.524,94.455,HIGHやで～
20150501170100,94.514,94.518,94.493,94.507,94.525,94.500,LOWやで～
20150501170200,94.507,94.512,94.495,94.508,94.519,94.502,HIGHやで～
20150501170300,94.508,94.542,94.508,94.533,94.549,94.515,HIGHやで～
20150501170400,94.531,94.549,94.520,94.537,94.556,94.527,HIGHやで～
20150501170500,94.536,94.537,94.523,94.524,94.544,94.530,LOWやで～
20150501170600,94.524,94.524,94.489,94.489,94.531,94.496,LOWやで～
20150501170700,94.489,94.528,94.488,94.523,94.535,94.495,HIGHやで～
20150501170800,94.522,94.525,94.490,94.493,94.532,94.497,LOWやで～
20150501170900,94.493,94.500,94.493,94.496,94.507,94.500,HIGHやで～
20150501171000,94.495,94.500,94.484,94.488,94.507,94.491,LOWやで～
20150501171100,94.489,94.508,94.478,94.508,94.515,94.485,HIGHやで～
20150501171200,94.508,94.508,94.482,94.482,94.515,94.489,LOWやで～
20150501171300,94.482,94.493,94.466,94.467,94.500,94.473,LOWやで～
20150501171400,94.467,94.481,94.463,94.471,94.488,94.470,HIGHやで～
20150501171500,94.470,94.487,94.465,94.483,94.494,94.472,HIGHやで～
20150501171600,94.483,94.507,94.482,94.507,94.514,94.489,HIGHやで～
20150501171700,94.507,94.508,94.454,94.456,94.515,94.461,LOWやで～
20150501171800,94.457,94.459,94.447,94.453,94.466,94.454,LOWやで～
20150501171900,94.453,94.461,94.433,94.439,94.468,94.440,LOWやで～
20150501172000,94.440,94.441,94.405,94.423,94.448,94.412,LOWやで～
20150501172100,94.424,94.424,94.413,94.421,94.431,94.420,LOWやで～
20150501172200,94.423,94.433,94.420,94.425,94.440,94.427,HIGHやで～
20150501172300,94.422,94.440,94.417,94.433,94.447,94.424,HIGHやで～
20150501172400,94.433,94.446,94.428,94.443,94.453,94.435,HIGHやで～
20150501172500,94.443,94.478,94.440,94.478,94.485,94.447,HIGHやで～
20150501172600,94.477,94.477,94.463,94.474,94.484,94.470,LOWやで～
20150501172700,94.474,94.474,94.403,94.406,94.481,94.410,LOWやで～
20150501172800,94.406,94.412,94.383,94.389,94.419,94.390,LOWやで～
20150501172900,94.388,94.404,94.382,94.387,94.411,94.389,LOWやで～
20150501173000,94.387,94.401,94.381,94.393,94.408,94.388,HIGHやで～
20150501173100,94.393,94.417,94.383,94.404,94.424,94.390,HIGHやで～
20150501173200,94.405,94.440,94.404,94.440,94.447,94.411,HIGHやで～
20150501173300,94.440,94.459,94.432,94.448,94.466,94.439,HIGHやで～
20150501173400,94.447,94.465,94.445,94.464,94.472,94.452,HIGHやで～
20150501173500,94.465,94.498,94.465,94.490,94.505,94.472,HIGHやで～
20150501173600,94.491,94.500,94.471,94.500,94.507,94.478,HIGHやで～
20150501173700,94.500,94.515,94.500,94.507,94.522,94.507,HIGHやで～
20150501173800,94.506,94.531,94.502,94.529,94.538,94.509,HIGHやで～
20150501173900,94.529,94.531,94.514,94.525,94.538,94.521,LOWやで～
20150501174000,94.525,94.525,94.506,94.511,94.532,94.513,LOWやで～
20150501174100,94.511,94.514,94.497,94.513,94.521,94.504,HIGHやで～
20150501174200,94.513,94.544,94.508,94.508,94.551,94.515,LOWやで～
20150501174300,94.511,94.518,94.509,94.514,94.525,94.516,HIGHやで～
20150501174400,94.514,94.536,94.507,94.529,94.543,94.514,HIGHやで～
20150501174500,94.531,94.537,94.511,94.511,94.544,94.518,LOWやで～
20150501174600,94.511,94.512,94.496,94.498,94.519,94.503,LOWやで～
20150501174700,94.499,94.518,94.490,94.518,94.525,94.497,HIGHやで～
20150501174800,94.518,94.524,94.512,94.512,94.531,94.519,LOWやで～
20150501174900,94.512,94.524,94.511,94.521,94.531,94.518,HIGHやで～
20150501175000,94.523,94.542,94.520,94.531,94.549,94.527,HIGHやで～
20150501175100,94.531,94.543,94.531,94.540,94.550,94.538,HIGHやで～
20150501175200,94.540,94.540,94.504,94.521,94.547,94.511,LOWやで～
20150501175300,94.521,94.546,94.513,94.541,94.553,94.520,HIGHやで～
20150501175400,94.541,94.550,94.526,94.539,94.557,94.533,LOWやで～
20150501175500,94.540,94.547,94.535,94.543,94.554,94.542,HIGHやで～
20150501175600,94.544,94.564,94.542,94.547,94.571,94.549,HIGHやで～
20150501175700,94.547,94.549,94.529,94.529,94.556,94.536,LOWやで～
20150501175800,94.529,94.531,94.513,94.520,94.538,94.520,LOWやで～
20150501175900,94.520,94.529,94.483,94.487,94.536,94.490,LOWやで～
20150501180000,94.490,94.507,94.489,94.489,94.514,94.496,LOWやで～
20150501180100,94.489,94.489,94.465,94.467,94.496,94.472,LOWやで～
20150501180200,94.467,94.483,94.465,94.478,94.490,94.472,HIGHやで～
20150501180300,94.478,94.496,94.475,94.494,94.503,94.482,HIGHやで～
20150501180400,94.494,94.502,94.472,94.489,94.509,94.479,LOWやで～
20150501180500,94.489,94.489,94.471,94.478,94.496,94.478,LOWやで～
20150501180600,94.478,94.479,94.454,94.466,94.486,94.461,LOWやで～
20150501180700,94.467,94.478,94.464,94.478,94.485,94.471,HIGHやで～
20150501180800,94.478,94.496,94.477,94.495,94.503,94.484,HIGHやで～
20150501180900,94.495,94.508,94.490,94.507,94.515,94.497,HIGHやで～
20150501181000,94.507,94.523,94.506,94.521,94.530,94.513,HIGHやで～
20150501181100,94.521,94.522,94.501,94.507,94.529,94.508,LOWやで～
20150501181200,94.507,94.514,94.495,94.510,94.521,94.502,HIGHやで～
20150501181300,94.510,94.525,94.505,94.517,94.532,94.512,HIGHやで～
20150501181400,94.519,94.548,94.519,94.548,94.555,94.526,HIGHやで～
20150501181500,94.549,94.552,94.519,94.528,94.559,94.526,LOWやで～
20150501181600,94.528,94.563,94.528,94.560,94.570,94.535,HIGHやで～
20150501181700,94.559,94.579,94.548,94.579,94.586,94.555,HIGHやで～
20150501181800,94.576,94.576,94.554,94.564,94.583,94.561,LOWやで～
20150501181900,94.565,94.572,94.541,94.554,94.579,94.548,LOWやで～
20150501182000,94.552,94.573,94.545,94.560,94.580,94.552,HIGHやで～
20150501182100,94.560,94.563,94.541,94.550,94.570,94.548,LOWやで～
20150501182200,94.549,94.564,94.542,94.564,94.571,94.549,HIGHやで～
20150501182300,94.564,94.564,94.537,94.537,94.571,94.544,LOWやで～
20150501182400,94.536,94.546,94.520,94.520,94.553,94.527,LOWやで～
20150501182500,94.518,94.522,94.496,94.499,94.529,94.503,LOWやで～
20150501182600,94.499,94.513,94.491,94.507,94.520,94.498,HIGHやで～
20150501182700,94.508,94.526,94.505,94.506,94.533,94.512,LOWやで～
20150501182800,94.506,94.532,94.506,94.520,94.539,94.513,HIGHやで～
20150501182900,94.519,94.539,94.519,94.536,94.546,94.526,HIGHやで～
20150501183000,94.535,94.535,94.497,94.504,94.542,94.504,LOWやで～
20150501183100,94.505,94.508,94.485,94.492,94.515,94.492,LOWやで～
20150501183200,94.492,94.505,94.486,94.487,94.512,94.493,LOWやで～
20150501183300,94.487,94.504,94.484,94.504,94.511,94.491,HIGHやで～
20150501183400,94.504,94.516,94.415,94.418,94.523,94.422,LOWやで～
20150501183500,94.418,94.430,94.401,94.415,94.437,94.408,LOWやで～
20150501183600,94.415,94.443,94.413,94.439,94.450,94.420,HIGHやで～
20150501183700,94.438,94.447,94.420,94.440,94.454,94.427,HIGHやで～
20150501183800,94.440,94.440,94.401,94.402,94.447,94.408,LOWやで～
20150501183900,94.401,94.413,94.389,94.406,94.420,94.396,HIGHやで～
20150501184000,94.407,94.409,94.400,94.404,94.416,94.407,LOWやで～
20150501184100,94.404,94.404,94.400,94.402,94.411,94.407,LOWやで～
20150501184200,94.403,94.406,94.383,94.406,94.413,94.390,HIGHやで～
20150501184300,94.406,94.424,94.397,94.421,94.431,94.404,HIGHやで～
20150501184400,94.421,94.440,94.409,94.431,94.447,94.416,HIGHやで～
20150501184500,94.430,94.436,94.408,94.419,94.443,94.415,LOWやで～
20150501184600,94.419,94.430,94.407,94.407,94.437,94.414,LOWやで～
20150501184700,94.405,94.417,94.402,94.403,94.424,94.409,LOWやで～
20150501184800,94.405,94.405,94.374,94.383,94.412,94.381,LOWやで～
20150501184900,94.381,94.402,94.379,94.401,94.409,94.386,HIGHやで～
20150501185000,94.401,94.420,94.396,94.414,94.427,94.403,HIGHやで～
20150501185100,94.414,94.414,94.382,94.397,94.421,94.389,LOWやで～
20150501185200,94.397,94.418,94.397,94.413,94.425,94.404,HIGHやで～
20150501185300,94.413,94.418,94.401,94.404,94.425,94.408,LOWやで～
20150501185400,94.404,94.405,94.390,94.391,94.412,94.397,LOWやで～
20150501185500,94.391,94.391,94.355,94.362,94.398,94.362,LOWやで～
20150501185600,94.362,94.383,94.353,94.383,94.390,94.360,HIGHやで～
20150501185700,94.383,94.395,94.381,94.385,94.402,94.388,HIGHやで～
20150501185800,94.385,94.390,94.379,94.384,94.397,94.386,LOWやで～
20150501185900,94.386,94.389,94.343,94.346,94.396,94.350,LOWやで～
20150501190000,94.345,94.361,94.337,94.355,94.368,94.344,HIGHやで～
20150501190100,94.355,94.384,94.355,94.384,94.391,94.362,HIGHやで～
20150501190200,94.384,94.387,94.373,94.380,94.394,94.380,LOWやで～
20150501190300,94.379,94.398,94.379,94.395,94.405,94.386,HIGHやで～
20150501190400,94.392,94.402,94.369,94.383,94.409,94.376,LOWやで～
20150501190500,94.383,94.389,94.366,94.366,94.396,94.373,LOWやで～
20150501190600,94.366,94.368,94.357,94.359,94.375,94.364,LOWやで～
20150501190700,94.359,94.365,94.349,94.355,94.372,94.356,LOWやで～
20150501190800,94.356,94.370,94.350,94.367,94.377,94.357,HIGHやで～
20150501190900,94.366,94.375,94.364,94.364,94.382,94.371,LOWやで～
20150501191000,94.364,94.365,94.346,94.357,94.372,94.353,LOWやで～
20150501191100,94.357,94.357,94.337,94.355,94.364,94.344,LOWやで～
20150501191200,94.355,94.376,94.353,94.368,94.383,94.360,HIGHやで～
20150501191300,94.367,94.369,94.356,94.362,94.376,94.363,LOWやで～
20150501191400,94.362,94.364,94.331,94.347,94.371,94.338,LOWやで～
20150501191500,94.347,94.350,94.340,94.350,94.357,94.347,HIGHやで～
20150501191600,94.351,94.354,94.334,94.342,94.361,94.341,LOWやで～
20150501191700,94.345,94.360,94.337,94.347,94.367,94.344,HIGHやで～
